id,stop_name
458,Bidi Kamgar Vasahat
459,Mile Dagad Kramank 19 Diveghat
460,Warje Malwadi
461,Mayurnagari
462,Shivnagar
463,Durvankur Lawns
464,Chimbli Phata
465,Bhosari
466,Kumbharvasti Pashan
467,Magazine
468,Deep Bungalow
469,Shastrinagar Nagar Road
470,Bhaurao Patil Chowk
471,Mira Society
472,Anandnagar Sinhagad Road
473,PC Pole Company
474,Bombay Garage
475,Gokul Hotel
476,Matalwadi Khanapur
477,Tapkir nagar
478,Rajiv Gandhinagar
479,Ashoknagar Rangehills
480,Dabhade Vasti
481,Naigaon Phata
482,Pooja Hospital
483,R&D colony
484,Panyachi Taki Kendur
485,Indrayani Vihar
486,Mhaskewasti
487,Parade ground
488,Undrigaon
489,Ganesh Nagar Corner
490,NCL Hostel
491,Alhatvasti
492,Poultry Farm Darshan
493,Parande Nagar
494,Chaudhari Dhaba
495,Sanakta Company
496,Ramnagar Rahatni
497,Shitaladevi Chowk Pimplegurav
498,Bhagwat Mangal Karyalay
499,Chudaman Talim
500,KSB Chowk
501,Ganeshnagari
502,Anandnagar Marketyard
503,Gokhalenagar Vasahat
504,Dhangar Baba
505,Mental Corner
506,Kanifnath Society
507,Thakur Vasti
508,Durvankur Mangal Karyalay
509,Bhondvevasti Ravet
510,Shivam Industries
511,Kondhur Phata
512,Chintamaninagar Sasanenagar
513,Gavhanevasti
514,Mahindra Company
515,Vadgaon Ghenand Shala
516,Venutai Chavan College
517,Khandoba Mandir
518,Kedarinagar Chowk
519,Shelgaon
520,Poultry Farm Desai
521,Eagle Company
522,Upper Depot
523,Wadebolhai
524,Kondhwa Police Station
525,Ganeshnagar Navlakh Umbre Road
526,DP Road Corner
527,Chinchwad Station
528,Subhash Vidyalaya
529,A Ward Office
530,Bahulgaon
531,Badadevasti
532,Ganeshnagar
533,Bharati Vidyapeeth
534,Godown Gultekdi
535,Judson Highschool
536,Sangamwadi phata
537,Kendriya Vidyalaya
538,Gandhi Bhavan Phata
539,Shivtirthnagar Corner
540,Shindevasti Susgaon
541,Mehandale Garage
542,Sasoon Hospital
543,Pandavnagar Senapati Bapat Road
544,Bhau Patil Chowk
545,Splender Country Club Gate Kramank
546,Hud Company
547,Tingre Nagar Grampanchayat shala
548,Shivraj nagar
549,Kendriya Vidyalay Dehu Road
550,Vishrantwadi
551,Khadakwasla Dharan
552,Vaiduwadi
553,Bidi Kamgar Vasahat
554,Netaji High School
555,Manikchand Dhariwal Sinhagad College
556,Mukainagar
557,Yerwada Gaon
558,Ramnagar Pimplegurav
559,Ruby Hall
560,Vithai Warehouse
561,Bhosari
562,Lakshminagar Handewadi Road
563,Maan
564,Ksb Chowk
565,Sadgurunagar
566,Durvankur Lawns
567,Magazine
568,Vadgaonmawal Phata
569,Potoba Mandir
570,Punawale Phata
571,Bombay Garage
572,Devachi Uruli  Phata
573,Bedekar Ganpati Mandir
574,Chhajed Petrol Pump
575,Khadakwadi Phata
576,Mira Society
577,Chaitanya Vidyalay
578,Kasar Amboli
579,Insurance Company
580,Nehrunagar Corner
581,Charoli Gaon
582,Ramyanagari
583,Dabhade Vasti
584,Vataremala
585,Tapkir nagar
586,Kalubai Mandir Warve
587,Kothrud Terminal
588,Sutarwadi Pashan
589,Talegaon Khind
590,Kondhwa Hospital
591,Bharati Nagar
592,Shindevasti Mundhwa
593,Paud Phata
594,Mahila Mandal
595,Mohol Vidyalay
596,Optonica Company
597,Kudje Shala
598,Jyotibanagar
599,Akurdi Chowk
600,Alandi Phata
601,Sinhgad Hotel
602,Subhanshah Darga
603,Ramanbaug Shala
604,Suskhind Phata Sus Road
605,Central Restaurant
606,Vadkinala
607,Kalpataru Society Pimplegurav
608,Devachi Uruli  Phata
609,Abhuyuday Bank
610,Akurdi Chowk
611,Ambience Hotel
612,Aswee Trading Company
613,Chandkhed
614,Dairy Farm
615,Kannda Lasun Sanshodhan Kendra
616,Navsahayadri
617,Sakalnagar
618,Bharati Nagar
619,Shell Petrol Pump
620,Triveninagar
621,Kacharevasti
622,Saswad Road Corner
623,Daulatnagar Mumbai Pune Bypass
624,Naigaon Phata
625,Pimprigaon
626,Sakal Office Vadaki
627,Tapkir Bungalow
628,Kalyani Forge Mudhwa
629,Ganganagar Pradhikaran
630,Ghorpadi Shala
631,Nakhatevasti
632,Annasaheb Magar Vidyalay
633,Chaudhari Dhaba
634,Grand Hotel
635,Peth
636,Karnatak Highschool
637,Kudalwadi
638,Telco Hostel
639,Panyachi Taki Undri
640,Mukai chowk
641,Mukai Chowk
642,Rama Krushi Rasayan Karkhana
643,Tapkirnagar Kalewadi
644,Kanda Engineering Company
645,Ravet Chowk
646,Mordari Phata
647,Bombay Garage
648,Ravet Chowk
649,Ma Na Pa  Nava pul
650,Yamunanagar Corner
651,Punawale Corner
652,Aundh Hospital
653,Deshpande Farm
654,Punawale Corner
655,Aundh Hospital
656,Gulabnagar
657,Shindevasti Susgaon
658,HRA Reliance
659,Khadki Station
660,Poultry Farm Sangrun
661,Ghotawadegaon
662,Dairy Farm
663,Dairy Farm
664,Mile Dagad Kramank 21 Pirangutghat
